epoch,train_loss,val_loss
1,727.577272612473,724.5524088541666
2,356.5832235402074,76.71388498942058
3,58.86623191833496,51.284315745035805
4,21.218580870792785,25.11858304341634
5,12.402002893645188,17.083321889241535
6,10.28719658687197,13.801489194234213
7,8.827406373517267,10.332935015360514
8,8.048799383229223,8.245453516642252
9,7.074975770095299,7.116776943206787
10,6.5713373381516025,6.274037520090739
11,6.179185538456358,5.673453648885091
12,5.876511656004807,5.867096185684204
13,5.543076219229863,5.283369859059651
14,5.24133379706021,5.05673623085022
15,5.043259193157327,4.577503840128581
16,4.853302478790283,3.95902148882548
17,4.645593330777925,2.9081875483194985
18,4.538719736296555,2.530921777089437
19,4.385923632260027,2.932499090830485
20,4.289526577653556,2.8210836251576743
21,4.131824805818755,2.5775768756866455
22,4.056982385701146,1.7788944244384766
23,4.027710166470758,1.2690616647402446
24,4.003807890004125,1.4446316162745159
25,3.900541116451395,1.9147922992706299
26,3.902349085643374,1.9257396459579468
27,3.855434072428736,1.7272657950719197
28,3.7699748976477263,1.2860393126805623
29,3.7390892834498963,1.618829647699992
30,3.7635087638065734,1.4044516881306965
31,3.637422750736105,1.4847256739934285
32,3.597112145917169,1.0595728556315105
33,3.518711098309221,1.0770448843638103
34,3.583214578957393,1.1450262268384297
35,3.6465063835012503,1.137532651424408
36,3.434397812547355,1.0670678615570068
37,3.438627103279377,1.0333012143770854
38,3.400508453106058,1.056724448998769
39,3.3374556755197458,1.7562044461568196
40,3.3376588903624436,1.5121688445409138
41,3.3702452840476202,1.4525400598843892
42,3.2558434091765305,0.70322185754776
43,3.2851179879287193,1.5527160962422688
44,3.2065043778255067,0.8668968280156454
45,3.1861531158973433,1.1959646542867024
46,3.1431356216299124,1.5143015384674072
47,3.1534472416187156,0.5069960604111353
48,3.144634690778009,1.3903963168462117
49,3.0297643480629755,0.6680327455202738
50,3.052321138053105,1.1345386505126953
51,3.0062519024158347,1.538783073425293
52,2.894526720046997,0.7845868070920309
53,2.8561971269804856,1.1494468847910564
54,2.8474032632235824,0.7677638332049052
55,2.803010866559785,0.8317028880119324
56,2.831689086453668,0.6658131778240204
57,2.767353814223717,0.892838180065155
58,2.762518052397103,0.5542972485224406
59,2.6851623387172303,0.6311101714769999
60,2.6892411914365044,0.7935418089230856
61,2.6764363749273894,0.935555656750997
62,2.630640926032231,0.6613290011882782
